country			state			city			zip code			name			address			phone			store hour			service
US			NY			NEW HYDE PARK			110401761			LAKE SUCCESS S/C			1400 UNION TPKE			5165745500			Sunday 10:00 am - 7:00 pm;Monday 10:00 am - 9:00 pm;Tuesday 10:00 am - 9:00 pm;Wednesday 10:00 am - 9:00 pm;Thursday 10:00 am - 9:00 pm;Friday 10:00 am - 9:00 pm;Saturday 9:00 am - 9:00 pm;			GIFT REGISTRY,STORE PICK UP,Drop-off Location,OPTICAL,TAX SERVICES & PREPARATION,SHIP FROM STORE,Free Wifi: Wireless Hotspot,Cross Format STS
US			NJ			PARAMUS			07652			SEARS AUTO CENTER			585 FROM RD			2019675596			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 10am 5pm;			STORE PICK UP,Western Union Check Cashing
US			NJ			PARAMUS			076523521			PARAMUS PARK			585 FROM RD			2019670300			Sunday CLOSED;Monday 9:30 am - 9:30 pm;Tuesday 9:30 am - 9:30 pm;Wednesday 9:30 am - 9:30 pm;Thursday 9:30 am - 9:30 pm;Friday 9:30 am - 9:30 pm;Saturday 9:00 am - 9:30 pm;			GIFT REGISTRY,FAMILY PORTRAIT STUDIO,STORE PICK UP,Drop-off Location,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,LE Home Shop,LE Shops,RESERVE AND PAY,Cross Format STS
US			NY			YONKERS			10704			CROSS COUNTY S/C			RTE 87(NY ST) & CROSS CT PKWY			9143772100			Sunday 9:00 am - 8:00 pm;Monday 9:30 am - 9:30 pm;Tuesday 9:30 am - 9:30 pm;Wednesday 9:30 am - 9:30 pm;Thursday 9:30 am - 9:30 pm;Friday 9:30 am - 9:30 pm;Saturday 9:00 am - 9:30 pm;			GIFT REGISTRY,FAMILY PORTRAIT STUDIO,STORE PICK UP,Drop-off Location,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,LE Shops,HAS WEBSITE,RESERVE AND PAY,SHIP FROM STORE,Cross Format STS
US			NJ			WAYNE			074706834			WILLOWBROOK MALL			50 ROUTE 46			9738902000			Sunday 10:00 am - 8:00 pm;Monday 10:00 am - 9:30 pm;Tuesday 10:00 am - 9:30 pm;Wednesday 10:00 am - 9:30 pm;Thursday 10:00 am - 9:30 pm;Friday 10:00 am - 9:30 pm;Saturday 9:00 am - 9:30 pm;			STORE PICK UP,Cross Format STS
US			NJ			WEST CALDWELL			070067128			W CALDWELL - HDWR			975 BLOOMFIELD AVE STE 2			9732760813			Sunday 9:00 am - 6:00 pm;Monday 8:00 am - 9:00 pm;Tuesday 8:00 am - 9:00 pm;Wednesday 8:00 am - 9:00 pm;Thursday 8:00 am - 9:00 pm;Friday 8:00 am - 9:00 pm;Saturday 8:00 am - 9:00 pm;			STORE PICK UP,Home Appliances,HAS WEBSITE
US			NJ			WAYNE			074706834			SEARS AUTO CENTER			50 ROUTE 46			9738902095			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 10am 5pm;			STORE PICK UP
US			NJ			ISELIN			088302607			SEARS AUTO CENTER			835 RTE 1 SOUTH			7322837025			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 10am 4pm;			STORE PICK UP
US			NJ			LIVINGSTON			07039			SEARS AUTO CENTER			S ORANGE AVE & WALNUT ST			9735354555			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 8pm;Sun 10am 5pm;			STORE PICK UP,Western Union Check Cashing
US			NJ			LIVINGSTON			07039			LIVINGSTON STORE CLOSED			S ORANGE AVE & WALNUT ST						Sunday CLOSED;Monday 10:00 am - 5:00 pm;Tuesday 10:00 am - 5:00 pm;Wednesday 10:00 am - 5:00 pm;Thursday 10:00 am - 5:00 pm;Friday 10:00 am - 5:00 pm;Saturday 10:00 am - 4:00 pm;			Western Union Check Cashing
US			NJ			LIVINGSTON			07039			LIVINGSTON MALL			S ORANGE AVE & WALNUT ST			9735354500			Sunday 11:00 am - 7:00 pm;Monday 10:00 am - 9:00 pm;Tuesday 10:00 am - 9:00 pm;Wednesday 10:00 am - 9:00 pm;Thursday 10:00 am - 9:00 pm;Friday 10:00 am - 9:00 pm;Saturday 9:00 am - 9:30 pm;			GIFT REGISTRY,STORE PICK UP,Drop-off Location,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,LE Shops,HAS WEBSITE,RESERVE AND PAY,Cross Format STS
US			NJ			WOODBRIDGE			070951124			WOODBRIDGE CTR			150 WOODBRIDGE CTR CT			7326025000			Sunday 10:30 am - 8:00 pm;Monday 9:30 am - 9:30 pm;Tuesday 9:30 am - 9:30 pm;Wednesday 9:30 am - 9:30 pm;Thursday 9:30 am - 9:30 pm;Friday 9:30 am - 9:30 pm;Saturday 9:30 am - 9:30 pm;			GIFT REGISTRY,FAMILY PORTRAIT STUDIO,STORE PICK UP,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,LE Shops,RESERVE AND PAY,Cross Format STS
US			NY			GARDEN CITY			115301617			GARDEN CITY - A			1111 FRANKLIN AVE			5168733700			Sunday 10:00 am - 7:00 pm;Monday 9:30 am - 9:30 pm;Tuesday 9:30 am - 9:30 pm;Wednesday 9:30 am - 9:30 pm;Thursday 9:30 am - 9:30 pm;Friday 9:00 am - 9:30 pm;Saturday 9:00 am - 9:30 pm;			GIFT REGISTRY,STORE PICK UP,Drop-off Location,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,LE Home Shop,LE Shops,HAS WEBSITE,RESERVE AND PAY,SHIP FROM STORE,Free Wifi: Wireless Hotspot,Cross Format STS
US			NJ			MIDLAND PARK			074321951			MIDLAND PARK - HDWR			80 GODWIN AVE			2014471995			Sunday 9:00 am - 6:00 pm;Monday 8:00 am - 9:00 pm;Tuesday 8:00 am - 9:00 pm;Wednesday 8:00 am - 9:00 pm;Thursday 8:00 am - 9:00 pm;Friday 8:00 am - 9:00 pm;Saturday 8:00 am - 9:00 pm;			STORE PICK UP,Drop-off Location,Home Appliances,HAS WEBSITE
US			NJ			WATCHUNG			070696503			WATCHUNG - A			1640 ROUTE 22			9087694981			Sunday 10:30 am - 7:00 pm;Monday 9:30 am - 9:00 pm;Tuesday 9:30 am - 9:00 pm;Wednesday 9:30 am - 9:00 pm;Thursday 9:30 am - 9:00 pm;Friday 9:30 am - 9:00 pm;Saturday 9:00 am - 9:00 pm;			GIFT REGISTRY,STORE PICK UP,WATCH REPAIR SHOP,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,Hair Salon,LE Shops,RESERVE AND PAY,SHIP FROM STORE,Cross Format STS
US			NJ			WATCHUNG			070696503			SEARS AUTO CENTER			1640 ROUTE 22			9087694990			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 10am 5pm;			STORE PICK UP,Western Union Check Cashing
US			NJ			PLAINFIELD			07060			PLAINFIELD - OUTLET			1701 US HIGHWAY 22			9084900184			Sunday 10:00 am - 7:00 pm;Monday 9:00 am - 9:00 pm;Tuesday 9:00 am - 9:00 pm;Wednesday 9:00 am - 9:00 pm;Thursday 9:00 am - 9:00 pm;Friday 9:00 am - 9:00 pm;Saturday 9:00 am - 9:00 pm;			Home Appliances
US			NJ			MIDDLETOWN			077481831			SEARS AUTO CENTER			1500 HIGHWAY 35			7327066295			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 6pm;Sun 10am 5pm;			STORE PICK UP,Western Union Check Cashing
